Timestamp,Seconds from start,Drive ESC 1 Temp,Drive ESC 1 RPM,Drive ESC 1 Current,Drive ESC 1 Consumption,Drive ESC 1 Voltage,Drive ESC 1 Input Signal,Drive ESC 2 Temp,Drive ESC 2 RPM,Drive ESC 2 Current,Drive ESC 2 Consumption,Drive ESC 2 Voltage,Drive ESC 2 Input Signal,Weapon ESC Temp,Weapon ESC RPM,Weapon ESC Current,Weapon ESC Consumption,Weapon ESC Voltage,Weapon ESC Input Signal,Arm ESC Temp,Arm ESC RPM,Arm ESC Current,Arm ESC Consumption,Arm ESC Voltage,Arm ESC Input Signal
17_11_33_228590,8.037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_33_283518,8.092,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_33_403744,8.212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_33_476333,8.285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_33_539919,8.349,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_33_708468,8.517,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_33_715472,8.524,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_33_840309,8.649,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_33_928349,8.737,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_33_985331,8.794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_34_113314,8.922,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_34_140091,8.949,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_34_269629,9.078,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_34_394836,9.203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_34_411833,9.22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_34_535151,9.344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_34_657410,9.466,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_34_673416,9.482,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_34_810405,9.619,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_34_922432,9.731,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_34_995348,9.804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_35_052581,9.861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_35_169221,9.978,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_35_280732,10.089,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,388,37730,0,2,0,-1,-1,-1,-1,-1,-1,-1
17_11_35_307328,10.116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_35_467760,10.276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_35_490437,10.299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_35_602415,10.411,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_35_729197,10.538,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_35_748196,10.557,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_35_898919,10.708,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_36_030806,10.839,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_36_155770,10.964,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_36_233592,11.042,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_36_469561,11.278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_36_585088,11.394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_36_664195,11.473,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_36_726564,11.535,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_36_943195,11.752,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_36_992296,11.801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_37_223687,12.032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_37_284970,12.094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_37_349715,12.158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_37_461522,12.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_37_579676,12.388,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_37_653377,12.462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_37_705438,12.514,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,1,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_37_822214,12.631,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_37_882750,12.691,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_38_001322,12.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_38_075454,12.884,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
17_11_38_252667,13.061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,0,2,25,-1,-1,-1,-1,-1,-1,-1
