Timestamp,Drive ESC 1 Temp,Drive ESC 1 RPM,Drive ESC 1 Current,Drive ESC 1 Consumption,Drive ESC 1 Voltage,Drive ESC 2 Temp,Drive ESC 2 RPM,Drive ESC 2 Current,Drive ESC 2 Consumption,Drive ESC 2 Voltage,Weapon ESC Temp,Weapon ESC RPM,Weapon ESC Current,Weapon ESC Consumption,Weapon ESC Voltage,Arm ESC Temp,Arm ESC RPM,Arm ESC Current,Arm ESC Consumption,Arm ESC Voltage,Battery Voltage,Total Current,Total Consumption,Signal Strength
16_59_33_681607,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_33_795331,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_33_888282,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_34_040655,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_34_061637,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_34_158430,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_34_254109,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_34_347849,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_34_438584,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_34_535323,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_34_627081,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
16_59_34_659991,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-106
16_59_34_773723,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-106
16_59_34_874451,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-105
16_59_35_005068,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.03,2,0.05,0.0,0.02,0.03,2,0.05,0.0,0.02,0.02,0.1,0.0,-104
